pl_name,hostname,discoverymethod,disc_year,disc_facility,sy_snum,sy_pnum,pl_bmasse,pl_rade,pl_orbper,pl_orbsmax,pl_orbeccen,pl_eqt,st_mass,st_rad,st_teff,st_lum,sy_dist,ra,dec
Kepler-1848 b,Kepler-1848,Transit,2021,Kepler,1,1,2.57,1.4088539,5.604020119,0.05835,0,774,0.756,0.737,4847,-0.51304,309.696,299.3814921,45.5920846
K2-355 b,K2-355,Transit,2021,K2,1,1,5.69,2.25,5.7385647,0.0632,,1066,0.96,0.92,5790,-0.11465,500.497,124.6426189,13.5027816
EPIC 211822797 b,EPIC 211822797,Transit,2016,K2,1,1,4.35,1.92,21.1701963,0.1195,0.06,431,0.62,0.58,4057,-1.15304,186.197,130.4102091,17.6399744
Kepler-1754 b,Kepler-1754,Transit,2021,Kepler,1,1,6.53,2.43996509,8.195949554,0.0718,0,672,0.734,0.747,4723,-0.61192,718.945,295.4570818,50.0771838
Kepler-1753 b,Kepler-1753,Transit,2021,Kepler,1,1,5.59,2.22678077,16.00460052,0.1179,0,583,0.86,0.769,5180,-0.55992,707.688,288.236664,46.6058744
Kepler-1815 b,Kepler-1815,Transit,2021,Kepler,1,1,7.99,2.7489262,12.19139957,0.0984,0,763,0.856,0.967,5516,-0.03006,1006.63,300.170472,43.9849048
Kepler-1787 b,Kepler-1787,Transit,2021,Kepler,1,1,5.99,2.31898181,39.31370163,0.227,0,540,1.008,0.925,6060,-0.0984,778.602,289.0643042,47.1174041
Kepler-1853 b,Kepler-1853,Transit,2021,Kepler,1,1,2.92,1.51862272,48.88819885,0.2395,0,386,0.765,0.788,4821,-0.56217,562.348,284.7478834,46.3735415
Kepler-1854 b,Kepler-1854,Transit,2021,Kepler,1,1,7.21,2.58746104,39.83110046,0.20894,0,420,0.8,0.759,5026,-0.479,423.348,286.28593,37.3869915
K2-357 b,K2-357,Transit,2021,K2,1,1,13.4,3.72,16.3488637,0.145,,735,0.98,1,5794,-0.06563,517.687,131.9386628,16.3289144
K2-356 b,K2-356,Transit,2021,K2,1,1,5.86,2.29,21.0267366,0.1599,,624,0.9,0.86,5568,-0.24375,355.54,128.3219134,13.6613758
Kepler-1755 b,Kepler-1755,Transit,2021,Kepler,1,1,29.4,5.91688317,24.81209946,0.1668,0,631,1.003,0.921,6086,0.27353,982.383,296.846092,40.1385777
Kepler-1757 b,Kepler-1757,Transit,2021,Kepler,1,1,8.99,2.94660251,19.65640068,0.1335,0,549,0.828,0.74,5288,-0.36941,807.308,297.7397823,46.9418957
Kepler-1817 b,Kepler-1817,Transit,2021,Kepler,1,1,5.79,2.27349126,44.29919815,0.2348,0,463,0.878,0.915,5316,-0.38044,748.569,282.0333419,44.4779955
Kepler-1818 b,Kepler-1818,Transit,2021,Kepler,1,1,3.58,1.71360684,4.644909859,0.055,0,1209,1.021,1.129,6047,0.261,1034.59,284.3284866,40.5688741
